# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.212557601928710938e+01,-4.410048294067382812e+01,-4.730694580078125000e+01,-4.860632324218750000e+01,1.746386337280273438e+01
4.499999999999999877e-04,-5.304338455200195312e+01,-4.354983139038085938e+01,-4.826068115234375000e+01,-4.766519546508789062e+01,1.796944618225097656e+01
7.500000000000000156e-04,-5.301347351074218750e+01,-4.344695663452148438e+01,-4.832232666015625000e+01,-4.802700424194335938e+01,1.763856315612792969e+01
1.200000000000000112e-03,-5.240451049804687500e+01,-4.259563827514648438e+01,-4.751248168945312500e+01,-4.622847747802734375e+01,1.753007125854492188e+01
1.500000000000000031e-03,-5.160297775268554688e+01,-4.043458175659179688e+01,-4.659092330932617188e+01,-4.372127532958984375e+01,1.725420951843261719e+01
1.500000000000000031e-03,-4.800025939941406250e+01,-3.931982040405273438e+01,-4.331871032714843750e+01,-4.687216949462890625e+01,1.683818626403808594e+01
1.500000000000000031e-03,-5.318933105468750000e+01,-4.175446701049804688e+01,-4.581036758422851562e+01,-4.603510284423828125e+01,1.685317802429199219e+01
1.500000000000000031e-03,-5.354824829101562500e+01,-4.231995010375976562e+01,-4.616979980468750000e+01,-4.602805709838867188e+01,1.681439590454101562e+01
1.500000000000000031e-03,-5.322887802124023438e+01,-4.181529998779296875e+01,-4.603702163696289062e+01,-4.683966064453125000e+01,1.687017059326171875e+01
1.500000000000000031e-03,-5.347450256347656250e+01,-4.246899795532226562e+01,-4.692571258544921875e+01,-4.633106231689453125e+01,1.676308250427246094e+01
