# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-6.577473449707031250e+01,-6.412820434570312500e+01,-6.659930419921875000e+01,-5.885245895385742188e+01,1.797146034240722656e+01
4.499999999999999877e-04,-6.580402374267578125e+01,-6.263368988037109375e+01,-6.612384796142578125e+01,-5.854753112792968750e+01,1.779352378845214844e+01
7.500000000000000156e-04,-6.549253845214843750e+01,-6.249071502685546875e+01,-6.561656188964843750e+01,-5.782035827636718750e+01,1.775286674499511719e+01
1.200000000000000112e-03,-6.569806671142578125e+01,-6.320951080322265625e+01,-6.594906616210937500e+01,-5.850315093994140625e+01,1.772610282897949219e+01
1.500000000000000031e-03,-6.585996246337890625e+01,-6.349355316162109375e+01,-6.594906616210937500e+01,-5.825301742553710938e+01,1.775046730041503906e+01
1.500000000000000031e-03,-6.576556396484375000e+01,-6.291864013671875000e+01,-6.594755554199218750e+01,-5.499714279174804688e+01,1.763075637817382812e+01
1.500000000000000031e-03,-6.564385986328125000e+01,-6.335355758666992188e+01,-6.587411499023437500e+01,-5.657102203369140625e+01,1.755166625976562500e+01
1.500000000000000031e-03,-6.634564971923828125e+01,-6.347029876708984375e+01,-6.612901306152343750e+01,-5.798193740844726562e+01,1.775090599060058594e+01
1.500000000000000031e-03,-6.637255096435546875e+01,-6.396389007568359375e+01,-6.636778259277343750e+01,-5.850007629394531250e+01,1.765879821777343750e+01
1.500000000000000031e-03,-6.655629730224609375e+01,-6.387702178955078125e+01,-6.636238098144531250e+01,-5.868224334716796875e+01,1.768513107299804688e+01
